datetime,price_QLD1,demand_QLD1,demand_energy_QLD1
2024-01-04 12:00:00+10:00,44.488333,6315.0908,6301.12
2024-01-04 13:00:00+10:00,53.118333,6575.3025,6561.8
2024-01-04 14:00:00+10:00,45.305833,7058.7092,7034.02
2024-01-04 15:00:00+10:00,40.369167,7644.2992,7621.79
2024-01-04 16:00:00+10:00,65.0575,8398.3483,8367.06
2024-01-04 17:00:00+10:00,102.43083,8925.555,8906.38
2024-01-04 18:00:00+10:00,196.13,9060.0492,9059.37
2024-01-04 19:00:00+10:00,170.58417,8979.2433,8990.36
2024-01-04 20:00:00+10:00,165.9475,8626.4767,8643.66
2024-01-04 21:00:00+10:00,105.26833,8072.4342,8099.01
2024-01-04 22:00:00+10:00,80.4375,7434.0883,7461.24
2024-01-04 23:00:00+10:00,77.745,6935.2167,6955.25
2024-01-05 00:00:00+10:00,66.481667,6534.0142,6546.57
2024-01-05 01:00:00+10:00,63.959167,6300.09,6309.52
2024-01-05 02:00:00+10:00,57.620833,6122.76,6125.67
2024-01-05 03:00:00+10:00,60.625,6079.0133,6076.58
2024-01-05 04:00:00+10:00,66.533333,6121.1275,6122.38
2024-01-05 05:00:00+10:00,67.484167,6169.9408,6168.66
2024-01-05 06:00:00+10:00,20.978333,6140.5108,6140.74
2024-01-05 07:00:00+10:00,8.83,6114.8817,6115.54
2024-01-05 08:00:00+10:00,40.4675,6324.9575,6311.35
2024-01-05 09:00:00+10:00,30.274167,6462.38,6463.63
2024-01-05 10:00:00+10:00,27.109167,6476.4892,6475.9
2024-01-05 11:00:00+10:00,24.255833,6409.5542,6406.4
2024-01-05 12:00:00+10:00,14.458333,6362.8167,6368.27
2024-01-05 13:00:00+10:00,22.988333,6687.6567,6665.6
2024-01-05 14:00:00+10:00,37.215833,7108.5858,7093.51
2024-01-05 15:00:00+10:00,38.339167,7524.8033,7504.93
2024-01-05 16:00:00+10:00,67.125,8051.9217,8024.38
2024-01-05 17:00:00+10:00,68.4475,8404.0367,8401.48
2024-01-05 18:00:00+10:00,119.46667,8484.6717,8481.42
2024-01-05 19:00:00+10:00,98.776667,8475.12,8482.13
2024-01-05 20:00:00+10:00,101.63833,8197.3117,8213.83
2024-01-05 21:00:00+10:00,83.264167,7741.465,7760.36
2024-01-05 22:00:00+10:00,77.984167,7271.8383,7290.63
2024-01-05 23:00:00+10:00,62.54,6838.0567,6857.62
2024-01-06 00:00:00+10:00,57.54,6452.335,6462.58
2024-01-06 01:00:00+10:00,54.700833,6221.7917,6229.42
2024-01-06 02:00:00+10:00,43.843333,6018.6342,6025.9
2024-01-06 03:00:00+10:00,46.264167,5969.2458,5970.96
2024-01-06 04:00:00+10:00,55.671667,5949.88,5951.72
2024-01-06 05:00:00+10:00,48.1775,5888.2525,5895.41
2024-01-06 06:00:00+10:00,-3.6116667,5629.8842,5639.86
2024-01-06 07:00:00+10:00,-17.345,5461.4508,5468.13
2024-01-06 08:00:00+10:00,-11.030833,5431.655,5423.21
2024-01-06 09:00:00+10:00,-6.025,5579.4533,5583.08
2024-01-06 10:00:00+10:00,-10.471667,5535.295,5529.87
2024-01-06 11:00:00+10:00,-4.98,5505.5325,5502.02
2024-01-06 12:00:00+10:00,6.7516667,5721.5908,5715.37
2024-01-06 13:00:00+10:00,28.965,5855.5775,5857.77
2024-01-06 14:00:00+10:00,12.035833,5936.5908,5924.84
2024-01-06 15:00:00+10:00,40.5825,6286.39,6266.49
2024-01-06 16:00:00+10:00,52.948333,6874.2108,6846.37
2024-01-06 17:00:00+10:00,76.815833,7325.3708,7313.37
2024-01-06 18:00:00+10:00,98.515833,7550.3142,7544.49
2024-01-06 19:00:00+10:00,93.931667,7626.5092,7628.09
2024-01-06 20:00:00+10:00,79.786667,7425.9767,7437.73
2024-01-06 21:00:00+10:00,78.8525,7085.88,7099.68
2024-01-06 22:00:00+10:00,82.0625,6744.4675,6757.89
2024-01-06 23:00:00+10:00,75.176667,6420.5325,6436.85
2024-01-07 00:00:00+10:00,62.286667,6114.8767,6125.53
2024-01-07 01:00:00+10:00,62.4225,5944.4183,5949.5
2024-01-07 02:00:00+10:00,61.803333,5824.5467,5827.56
2024-01-07 03:00:00+10:00,59.168333,5722.1867,5725.96
2024-01-07 04:00:00+10:00,55.838333,5703.3442,5706.52
2024-01-07 05:00:00+10:00,51.190833,5600.3958,5607.03
2024-01-07 06:00:00+10:00,18.24,5343.2617,5357.08
2024-01-07 07:00:00+10:00,-18.333333,5021.5333,5034.18
2024-01-07 08:00:00+10:00,-29.205833,4780.1492,4787.09
2024-01-07 09:00:00+10:00,-22.683333,4760.6475,4755.1
2024-01-07 10:00:00+10:00,-9.2583333,5008.145,4996.71
2024-01-07 11:00:00+10:00,-14.821667,5063.8525,5061.22
2024-01-07 12:00:00+10:00,0.8225,5240.665,5231.43
2024-01-07 13:00:00+10:00,8.5166667,5420.7283,5411.19
2024-01-07 14:00:00+10:00,28.679167,5854.4167,5825.96
2024-01-07 15:00:00+10:00,44.833333,6533.1058,6512.65
2024-01-07 16:00:00+10:00,68.87,7042.6925,7023.82
2024-01-07 17:00:00+10:00,80.925833,7530.6117,7509.98
2024-01-07 18:00:00+10:00,116.49083,7861.195,7853.92
2024-01-07 19:00:00+10:00,105.8525,7863.2367,7870.04
2024-01-07 20:00:00+10:00,96.2375,7611.6308,7624.0
2024-01-07 21:00:00+10:00,90.106667,7217.735,7236.24
2024-01-07 22:00:00+10:00,90.8675,6830.4842,6845.67
2024-01-07 23:00:00+10:00,87.313333,6482.225,6494.51
2024-01-08 00:00:00+10:00,85.208333,6191.8542,6200.73
2024-01-08 01:00:00+10:00,85.278333,6014.015,6020.9
2024-01-08 02:00:00+10:00,72.878333,5902.6025,5907.94
2024-01-08 03:00:00+10:00,66.003333,5880.2167,5877.08
2024-01-08 04:00:00+10:00,66.245,5957.2117,5955.34
2024-01-08 05:00:00+10:00,70.293333,6153.8208,6143.69
2024-01-08 06:00:00+10:00,68.16,6342.7492,6332.5
2024-01-08 07:00:00+10:00,61.794167,6366.9592,6370.29
2024-01-08 08:00:00+10:00,61.3875,6513.7892,6507.74
2024-01-08 09:00:00+10:00,62.065833,6357.215,6362.63
2024-01-08 10:00:00+10:00,54.838333,6406.1792,6402.93
2024-01-08 11:00:00+10:00,41.880833,6506.29,6491.2
2024-01-08 12:00:00+10:00,46.4725,6762.005,6764.32
2024-01-08 13:00:00+10:00,64.553333,6965.0742,6952.44
2024-01-08 14:00:00+10:00,61.3625,7139.3608,7129.69
2024-01-08 15:00:00+10:00,97.083333,7570.2642,7546.34
2024-01-08 16:00:00+10:00,114.92917,8097.3683,8075.18
2024-01-08 17:00:00+10:00,122.42083,8616.14,8599.95
2024-01-08 18:00:00+10:00,216.03833,8757.1208,8755.43
2024-01-08 19:00:00+10:00,144.10417,8691.3183,8704.49
2024-01-08 20:00:00+10:00,224.34,8417.6625,8426.74
2024-01-08 21:00:00+10:00,134.61333,7966.03,7989.14
2024-01-08 22:00:00+10:00,99.8975,7388.5625,7411.98
2024-01-08 23:00:00+10:00,113.37917,6925.0917,6942.03
2024-01-09 00:00:00+10:00,105.30917,6587.2875,6599.9
2024-01-09 01:00:00+10:00,90.531667,6410.5125,6415.03
2024-01-09 02:00:00+10:00,85.294167,6252.7708,6258.7
2024-01-09 03:00:00+10:00,86.983333,6192.2983,6195.59
2024-01-09 04:00:00+10:00,105.4225,6252.5758,6246.55
2024-01-09 05:00:00+10:00,114.52833,6370.4767,6366.73
2024-01-09 06:00:00+10:00,92.554167,6610.6383,6588.69
2024-01-09 07:00:00+10:00,87.804167,7051.6492,7045.56
2024-01-09 08:00:00+10:00,83.73,7041.8083,7040.82
2024-01-09 09:00:00+10:00,67.155,7059.935,7060.03
2024-01-09 10:00:00+10:00,59.528333,6916.475,6930.7
2024-01-09 11:00:00+10:00,50.374167,6657.5858,6666.07
2024-01-09 12:00:00+10:00,59.824167,6599.7817,6591.14
2024-01-09 13:00:00+10:00,71.189167,7050.33,7027.01
2024-01-09 14:00:00+10:00,60.205833,7370.6292,7361.74
2024-01-09 15:00:00+10:00,81.818333,7868.2175,7838.51
2024-01-09 16:00:00+10:00,87.3075,8581.6992,8556.41
2024-01-09 17:00:00+10:00,147.10667,8926.35,8921.99
2024-01-09 18:00:00+10:00,191.755,8944.78,8940.96
2024-01-09 19:00:00+10:00,181.76833,8847.995,8859.45
2024-01-09 20:00:00+10:00,139.2575,8629.6833,8641.17
2024-01-09 21:00:00+10:00,115.1425,8114.8992,8140.78
2024-01-09 22:00:00+10:00,108.26583,7454.7183,7483.26
2024-01-09 23:00:00+10:00,145.20417,6987.7217,7001.9
2024-01-10 00:00:00+10:00,122.85083,6625.3133,6638.17
2024-01-10 01:00:00+10:00,126.08833,6422.0483,6426.45
2024-01-10 02:00:00+10:00,130.75667,6276.235,6282.44
2024-01-10 03:00:00+10:00,108.96083,6186.6133,6191.31
2024-01-10 04:00:00+10:00,136.0125,6237.2483,6230.42
2024-01-10 05:00:00+10:00,160.47167,6410.1433,6402.88
2024-01-10 06:00:00+10:00,75.769167,6661.24,6651.97
2024-01-10 07:00:00+10:00,52.765833,6681.4475,6686.87
