Datetime,AC_Power,Price,Battery_State_kWh,Charge_kwh,Discharge_kwh,Revenue_$,Cumulative_Revenue_$
2024-01-03 07:00:00,23.547,-23.221667,13.257000000000001,0.0,0.0,-0.5468005928490001,34.10963237844708
2024-01-03 08:00:00,30.416,-23.63,13.257000000000001,0.0,0.0,-0.7187300799999999,33.39090229844708
2024-01-03 09:00:00,40.872,-20.5,13.257000000000001,0.0,0.0,-0.837876,32.55302629844708
2024-01-03 10:00:00,51.343,-9.3833333,13.2957,0.04299999999999926,0.0,-0.48136499829000007,32.07166130015708
2024-01-03 11:00:00,55.525,26.394167,13.299570000000001,0.004300000000000637,0.0,1.4654226277568998,33.53708392791398
2024-01-03 12:00:00,58.525,34.324167,13.299570000000001,0.0,0.0,2.008821873675,35.54590580158899
2024-01-03 13:00:00,50.038,23.970833,13.299570000000001,0.0,0.0,1.1994525416539998,36.745358343242984
2024-01-03 14:00:00,49.328,44.631667,13.299570000000001,0.0,0.0,2.201590869776,38.94694921301898
2024-01-03 15:00:00,40.775,52.2175,13.299570000000001,0.0,0.0,2.1291685625,41.07611777551898
2024-01-03 16:00:00,29.412,75.5025,13.299570000000001,0.0,0.0,2.22067953,43.29679730551898
2024-01-03 17:00:00,22.833,85.714167,13.299570000000001,0.0,0.0,1.9571115751109998,45.25390888062998
2024-01-03 18:00:00,14.224,213.17167,13.299570000000001,0.0,0.0,3.0321538340800003,48.28606271470998
2024-01-03 19:00:00,8.107,148.28083,13.299570000000001,0.0,0.0,1.20211268881,49.488175403519975
2024-01-03 20:00:00,0.0,108.12333,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-03 21:00:00,0.0,93.089167,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-03 22:00:00,0.0,79.2375,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-03 23:00:00,0.0,77.415,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-04 00:00:00,0.0,61.171667,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-04 01:00:00,0.0,58.971667,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-04 02:00:00,0.0,57.795833,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-04 03:00:00,0.0,60.099167,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-04 04:00:00,0.0,61.240833,13.299570000000001,0.0,0.0,0.0,49.488175403519975
2024-01-04 05:00:00,10.253,65.699167,13.299570000000001,0.0,0.0,0.6736135592510001,50.16178896277098
2024-01-04 06:00:00,12.523,31.281667,13.299570000000001,0.0,0.0,0.391740315841,50.553529278611975
2024-01-04 07:00:00,21.005,21.975,13.299570000000001,0.0,0.0,0.461584875,51.015114153611975
2024-01-04 08:00:00,28.632,39.233333,13.299570000000001,0.0,0.0,1.1233287904560003,52.138442944067975
2024-01-04 09:00:00,39.694,29.583333,13.299570000000001,0.0,0.0,1.174280820102,53.312723764169974
2024-01-04 10:00:00,50.244,29.205833,13.299957000000001,0.0004299999999997084,0.0,1.46740531474381,54.78012907891378
2024-01-04 11:00:00,56.803,22.108333,13.2999957,4.2999999999793204e-05,0.0,1.255818688740681,56.03594776765446
2024-01-04 12:00:00,60.173,44.488333,13.2999957,0.0,0.0,2.6769964616090003,58.712944229263464
2024-01-04 13:00:00,52.953,53.118333,13.2999957,0.0,0.0,2.812775087349,61.52571931661247
2024-01-04 14:00:00,48.613,45.305833,13.2999957,0.0,0.0,2.202452459629,63.72817177624147
2024-01-04 15:00:00,38.426,40.369167,13.2999957,0.0,0.0,1.551225611142,65.27939738738347
2024-01-04 16:00:00,28.437,65.0575,13.2999957,0.0,0.0,1.8500401275000002,67.12943751488346
2024-01-04 17:00:00,21.432,102.43083,13.2999957,0.0,0.0,2.19529754856,69.32473506344347
2024-01-04 18:00:00,14.103,196.13,13.2999957,0.0,0.0,2.7660213899999997,72.09075645344348
2024-01-04 19:00:00,8.679,170.58417,13.2999957,0.0,0.0,1.48050001143,73.57125646487347
2024-01-04 20:00:00,0.0,165.9475,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-04 21:00:00,0.0,105.26833,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-04 22:00:00,0.0,80.4375,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-04 23:00:00,0.0,77.745,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-05 00:00:00,0.0,66.481667,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-05 01:00:00,0.0,63.959167,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-05 02:00:00,0.0,57.620833,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-05 03:00:00,0.0,60.625,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-05 04:00:00,0.0,66.533333,13.2999957,0.0,0.0,0.0,73.57125646487347
2024-01-05 05:00:00,9.419,67.484167,13.2999957,0.0,0.0,0.635633368973,74.20688983384647
2024-01-05 06:00:00,15.839,20.978333,13.2999957,0.0,0.0,0.33227581638700004,74.53916565023347
2024-01-05 07:00:00,22.089,8.83,13.2999957,0.0,0.0,0.19504586999999998,74.73421152023347
2024-01-05 08:00:00,30.637,40.4675,13.2999957,0.0,0.0,1.2398027974999999,75.97401431773348
2024-01-05 09:00:00,39.873,30.274167,13.2999957,0.0,0.0,1.2071218607909997,77.18113617852448
2024-01-05 10:00:00,47.137,27.109167,13.29999957,4.300000000512227e-06,0.0,1.277844688309582,78.45898086683407
2024-01-05 11:00:00,52.17,24.255833,13.299999957,4.3000000005122274e-07,0.0,1.2654267971799917,79.72440766401407
2024-01-05 12:00:00,62.248,14.458333,13.299999957,0.0,0.0,0.9000023125839999,80.62440997659806
2024-01-05 13:00:00,55.817,22.988333,13.299999957,0.0,0.0,1.283139783061,81.90754975965906
2024-01-05 14:00:00,50.905,37.215833,13.299999957,0.0,0.0,1.8944719788650002,83.80202173852406
2024-01-05 15:00:00,39.938,38.339167,13.299999957,0.0,0.0,1.5311896516460002,85.33321139017006
2024-01-05 16:00:00,29.264,67.125,13.299999957,0.0,0.0,1.964346,87.29755739017007
2024-01-05 17:00:00,22.472,68.4475,13.299999957,0.0,0.0,1.5381522200000002,88.83570961017007
2024-01-05 18:00:00,14.387,119.46667,13.299999957,0.0,0.0,1.71876698129,90.55447659146007
2024-01-05 19:00:00,8.853,98.776667,13.299999957,0.0,0.0,0.874469832951,91.42894642441107
2024-01-05 20:00:00,0.0,101.63833,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-05 21:00:00,0.0,83.264167,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-05 22:00:00,0.0,77.984167,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-05 23:00:00,0.0,62.54,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-06 00:00:00,0.0,57.54,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-06 01:00:00,0.0,54.700833,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-06 02:00:00,0.0,43.843333,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-06 03:00:00,0.0,46.264167,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-06 04:00:00,0.0,55.671667,13.299999957,0.0,0.0,0.0,91.42894642441107
2024-01-06 05:00:00,8.455,48.1775,13.299999957,0.0,0.0,0.40734076250000006,91.83628718691106
2024-01-06 06:00:00,12.614,-3.6116667,13.299999957,0.0,0.0,-0.0455575637538,91.79072962315726
2024-01-06 07:00:00,23.286,-17.345,13.299999957,0.0,0.0,-0.40389567,91.38683395315726
2024-01-06 08:00:00,32.929,-11.030833,13.299999957,0.0,0.0,-0.363234299857,91.02359965330027
2024-01-06 09:00:00,38.77,-6.025,13.299999957,0.0,0.0,-0.23358925000000003,90.79001040330027
2024-01-06 10:00:00,57.379,-10.471667,13.2999999957,4.3000000005122274e-08,0.0,-0.6008537803427183,90.18915662295755
2024-01-06 11:00:00,57.853,-4.98,13.299999999570002,4.300000355783595e-09,0.0,-0.288107939978586,89.90104868297897
